state,title,body,created_at,updated_at
open,General Blockchain Stats Page,"### Summary

General Blockchain Stats Page

### Context

TON blockchain still does not have a single and generally accepted page that displays the most important data about the blockchain in a convenient format at tonscan.org.


### Goals

Provide a reliable source of statistics regarding the TON Blockchain.


### Deliverables

Functioning page for tracking the most important blockchain data.

- TPS
- Transactions count
- Actual block
- Average block speed
- Average tx speed
- Circulation & total supply
- Validator's count    
- Election time tracking
- Account's count
- Contract types chart (comparison of smart contracts types: wallets, NFT, jettons, etc.)
- Market data: Price, Capitalization, Trading volume


### Definition of Done

- [ ] Website is working stable
- [ ] Information on validators, transaction speed, volume etc. is displayed.


### Reward

5000 USD in TON

### Oriental Release Date

TBD",2023-05-22T19:30:49Z,2023-05-30T16:18:56Z
open,Pages with detailed stats for each category,"### Summary

Pages with detailed stats for each category

### Context

For each of the blockchain entities, we propose to make a separate page with detailed information to ensure real-time monitoring at tonscan.org.


### Goals

Create convenient tools for monitoring new transactions, blocks and actual validators.


### Deliverables

1) Validators page, including all actual validators list with their stakes and current status, and also frozen stakes.
2) Blocks page, with pagination into other blocks and a list of all transactions in the block and real-time monitoring of all actual blocks indicating their workchains, hash and txs count.
3) Transaction page, with real-time monitoring of all transactions: new tx's, TPS count, average transaction speed and 

### Definition of Done

- [ ] All pages are working stable and display the above information.


### Reward

3000 USD in TON


### Oriental Release Date

TBD",2023-05-22T19:29:55Z,2023-05-30T16:24:02Z
closed,Footstep: ADNL over UDP for Node.JS,"Footstep: https://github.com/ton-society/ton-footsteps/issues/216

Results achieved:

ADNL protocol implemented: https://github.com/thekiba/tonutils

TON wallet for reward: EQAPPgN25OQh3EOqqt0v_CRmScxa-_ulVwm5NESN1DO4gcEG",2023-05-22T13:44:49Z,2023-05-23T12:54:09Z
closed,fix link 404,,2023-05-21T15:10:30Z,2023-05-21T15:10:49Z
closed,Update and Refactor Awesome TON Page with TON Ecosystem Links,"### Summary

This project aims to optimize the structure and content of https://github.com/ton-community/awesome-ton by adding TON Ecosystem links and reorganizing the content.

### Context

The current [Awesome TON](https://github.com/ton-community/awesome-ton) page became outdated and lacks some links to other relevant TON Ecosystem resources, making it difficult for developers to find all the necessary tools in one place. This footstep aims to update the page for developers looking for information to build in TON Ecosystem.

As an example, take a look at the version of the Education section with the [PR](https://github.com/ton-community/awesome-ton/pull/39).

The Final content should be structured with similar logic(save balance between nested and big lists), as an example of the Final 🗂️Table of Content:

* Official Resources
* Education
* Participate(Validators and Nominators)
* Contribute
* Talks & Workshops
* Get Coding
  * Dev Tools
  * Boilerplates
  * Libraries
* Projects
* Authentication



### Goals

- Update links to TON Ecosystem resources in [Awesome TON](https://github.com/ton-community/awesome-ton) page
- Improve the overall structure of the page
- Save a balance between long lists and nested content

### Deliverables

- Refactored Awesome TON Page supports developers who seek fast answers in the GitHub
- Actualized Links will be used for the docs.ton.org update.

### Definition of Done

- [ ] PR for The Awesome TON Page has been created
- [ ] PR with update reviewed and merged


### Reward

* Standard TON Footstep NFT
* 100 USD in TON equivalent

### Oriental Release Date

2 weeks",2023-05-20T14:46:23Z,2023-06-03T09:36:58Z
closed,Create a resource on how to earn Toncoin,"### Summary

We need to relieve developers, creators, players, and users from spending TIME looking for ways to earn Toncoin so they can focus on what they enjoy doing!

### Context

There is a lack of knowledge on how to earn Toncoin. So I would like to initially create a Telegram channel to help people earn Toncoin easily and efficiently.

### Goals

Provide the highest quality research to educate people about Toncoin earning mechanisms
- Raise awareness of Toncoin among stakeholders
- Promote the use of Toncoin in everyday life

### Deliverables

A series of articles with step by step guidance to earn Toncoin
- A tutorial explaining how to earn Toncoin


### Definition of Done

- Configure a Telegram channel, chat, bots.
- To create an initial map for earning Toncoin, for convenience and ease of mastering the information.
- Publication of at least 1 articles, research



### Reward

1000USD

### Oriental Release Date

To create an initial map for earning Toncoin  25hours
Setting up the channel, chat, bot  10 hours
Search, analyze and publish 1 research 15 hours

",2023-05-19T06:51:43Z,2023-05-23T09:42:31Z
open,Update TON FunC Lessons with Blueprint SDK,"### Summary

This project aims to update the first 10 TON introduction tutorials created by Ivan Romanovich to use Blueprint SDK instead of toncli.

### Context

This project is required because the current excellent [TON FunC lessons](https://github.com/romanovichim/TonFunClessons_Eng) were created using toncli about year ago.

Tutorials are well-structured and written in an excellent manner for newcomers to TON. However, today we have a next-generation all-in-one SDK for smart-contract development, testing, and deploying named [Blueprint](https://github.com/ton-community/blueprint). It offers a more user-friendly experience, especially for developers familiar with `hardhat`.

### Goals

- Update [10 TON FunC lessons by Ivan Romanovich](https://github.com/romanovichim/TonFunClessons_Eng) to use Blueprint SDK

### Deliverables

- [ ] Tutorial 1: Simple FunC Smart Contract 
- [ ] Tutorial 2: FunC tests for the first smart contract
- [ ] Tutorial 3: Messages, let's write a proxy contract
- [ ] Tutorial 4: Testing messages
- [ ] Tutorial 5: Flags and data storage in a contract
- [ ] Tutorial 6: Testing flags and data storage in the contract
- [ ] Tutorial 7: HashMap storage
- [ ] Tutorial 8: Testing HashMap storage
- [ ] Tutorial 9: Analyzing the Jetton Standard(Fungible Token)
- [ ] Tutorial 10: Analyzing the NFT Standard (Non-Fungible Token)


_Lessons can be handled by different people_

### Definition of Done

- All tutorials are updated to use Blueprint SDK
- All the lessons are published on the docs.ton.org platform (_Develop Smart Contracts > Learn_ section)

### Reward

* $200 / lesson
* $2000 max in TON

### Oriental Release Date

- end of June
- start of July",2023-05-15T15:22:52Z,2023-06-01T09:10:56Z
open,Series of videos on TON programming - Livecoding on Python in English with TON Dev Study,"### Summary

FootStep is about creation a YouTube _course_ in English on programming in TON using Python. The _course_ should be in live-coding style, showing how to use different Python libraries to work with TON Blockchain.

### Context

**Python** is one of the most popular programming languages and it is used both by beginners and advanced programmers.
In TON Python is convenient for parsing transactions, smart contracts, and generally working with blockchain. However, for beginners in TON it's difficult to start developing with Python, because there are much more tools and tutorials for developing with JS (TS), Go and other languages

### Goals

* Record easy-to-follow videos for international learners in English
* Make sure that the sound and video quality are good enough and comfortable for learners(do not contain any significant sound glitches).
* Reduce confusion and frustration for Python programmers who want to start developing in TON using their favorite language.
* Make a public playlist on the [TON Dev Study YouTube channel](https://youtube.com/@WikiMar).
* Make a public repo on the [TON Dev Study GitHub page](https://github.com/TonDevStudy) with all code, written in videos.

### Deliverables

* Add a fresh and easy-to-understand live coding session on Python to work with TON to the course content. This will help us attract an international community of TON developers who are looking for simple and easy-to-understand video tutorials.
* 10 YouTube videos in course, 10 folders in GitHub repo with code and README in each folder

### Definition of Done

- [x] **1 lesson**: General Python TON libraries review; simple wallet creation, import and deployment; creation of internal messages; simple counter contract deployment and calling this contract's get-methods
- [x]   **2 lesson**: TVM types overview, Cell/HashMap creation, Slice parsing; work with liteservers, looking for archive ls from public ls list; transactions parsing from blocks; listening for new transactions in blockchain 
- [x] **3 lesson**: Transactions data parsing; check transactions statuses (exit codes in different phases); messages parsing; recognize transactions types via op code (like Jetton transfer) and parse these transactions
- [x] **4 lesson**: NFT collection creation and deployment; NFT (batch) minting;  NFT transfer
- [x] **5 lesson**: NFT collection parsing via get methods; single NFT items parsing; NFT sale (auction) contracts parsing; how to get all NFT items (and their owners) by collection address
- [x] **6 lesson**: Jetton minter deployment; Tokens mint; Jetton transfer; Jetton burn
- [x] **7 lesson**: Jetton content parsing (onchain and offchain); Hashmaps reading; Jetton wallet parsing
- [ ] **8 lesson**: Highload wallets; Hashmaps; Blockchain config parsing
- [ ] **9 lesson**: Multisig wallets; Offchain signatures; Onchain signatures
- [ ] **10 lesson**: TBD


### Reward

* Standard TON Footstep NFT
* 300$ in TON for each lesson

### Oriental Release Date

_At least 1-2 lessons per week._",2023-05-10T07:02:01Z,2023-06-03T07:29:59Z
open,tontools and tonsdk python libraries development,"### Summary

[TonTools](https://github.com/yungwine/TonTools) is a popular high level python library, which allows to easily interact with ton using liteservers or apis (toncenter and tonapi currently)
[tonsdk](https://github.com/tonfactory/tonsdk) is a low level python library, there are a lot of utilities like tvm types, token (nft and ft), wallet contracts

The footstep is about continue contribute and develop this libraries 

### Context

**Python** is one of the most popular programming languages, but there is lack of libraries to use it with TON and lack of developers to create and contribute them. So python developers who come into TON ecosystem suffer from lack of tools to develop in TON with python. 

The main goal is to give them this ability and continue the development of the libraries.

### Goals

### tonsdk
* complete tvm types, such as add hashmaps parsing
* add/update contracts, for e.g. nft sale contract should be updated,
nft sale auction contract should be added, jetton contract should be able to contain onchain metadata

### TonTools
* Implement testnet support
* add way more examples, a separate example for almost every feature
* implement nft minting, jettons minting/burning, work with nft sales (auctions) contracts
* overwrite [LsClient](https://github.com/yungwine/TonTools/blob/master/TonTools/Providers/LsClient.py), from using [ton](https://github.com/psylopunk/pytonlib) library (which is abandoned) to use [toncenter/pytonlib](https://github.com/toncenter/pytonlib) library
* overwrite [TonApiClient](https://github.com/yungwine/TonTools/blob/master/TonTools/Providers/TonApiClient.py) to use tonapi v2 endpoints, because tonapi v1 soon become unsupported
* add tools to interact with _HighLoad wallets_ 
* add tools to interact with _MultiSig wallets_ 
* implement interaction with [dton](https://dton.io)



### Deliverables

* new version of **tonsdk** library
* new version of **tontools** library

### Definition of Done

### tonsdk
- [ ] new version with complete types and updated/new contracts
### TonTools
- [ ] testnet support and examples
- [ ] nft, jettons actions, nft sales implementation
- [ ] overwritten LsClient 
- [ ] overwritten TonApiClient
- [ ] highload and multisig wallets implementation 
- [x] add provider to use [dton](https://dton.io)

### Reward

### tonsdk
* 600 usd
### TonTools
* 200 usd for implement testnet support, add examples
* 300 usd for nft, jettons actions, nft sales implementation 
* 700 usd for  LsClient update
* 700 usd for TonApiClient update
* 700 usd for HighLoad, MultiSig implementation 
* 400 TON for _dton_ provider implementation - sponsored by Disintar team
* Standard TON Footstep NFT

* **Total Reward**: 3200 USD in TON equivalent + 400 TON from Disintar team
### Oriental Release Date

* 1 week from footstep approvement to update **tonsdk** 

* 2-3 weeks for **TonTools** (except _dton_ implementation)

* 2 weeks to implement _dton_ with tests and examples
",2023-05-09T18:21:53Z,2023-05-22T11:22:02Z
open,Native python bindings for TON,"### Summary

Create and maintain python library with bindings for TON structures and emulator.

### Context

```python3
d = VmDict(256)

d.set(1, begin_cell().store_int(2**103, 256).end_cell().begin_parse())
d.set_builder(9, begin_cell().store_address(""EQDrLq-X6jKZNHAScgghh0h1iog3StK71zn8dcmrOj8jPWRA""))
d.set_ref(2**254, begin_cell().store_int(-132, 32).end_cell())

for i in reversed(d):
    if i[0] == 1:
        print(""Key: "", i[0], ""\n\tParsed value: "", i[1].preload_int(256))
    elif i[0] == 9:
        print(""Key: "", i[0], ""\n\tParsed value: "", i[1].dump_as_tlb(""MsgAddress""),""\n\n\t"", i[1].load_addr())
    elif i[0] == 2**254:
        print(""Key: "", i[0], ""\n\tParsed value: "", i[1].fetch_ref().load_int(32))
```

---

> Key:  28948022309329048855892746252171976963317496166410141009864396001978282409984 
	Parsed value:  -132
Key:  9 
	Parsed value:  (
  (addr_std
    anycast:nothing workchain_id:0 address:xEB2EAF97EA32993470127208218748758A88374AD2BBD739FC75C9AB3A3F233D))
	 EQDrLq-X6jKZNHAScgghh0h1iog3StK71zn8dcmrOj8jPWRA
Key:  1
	Parsed value:  10141204801825835211973625643008

[More examples](https://gist.github.com/tvorogme/786299c37da7b31937abc1f709a48a48)

### Goals

- [ ] Develop pybind11 bindings
    - Cell, Cell Slice, Cell Builder, VmDict (HashmapE, HashmapAugE)
    - Popular TLB structures
    - BOC
    - TLB (de)serialization
    - Transaction emulator with state managment (like sandbox)
    - TLB python objects with (de)serialization, so you can create any TLB object as python objects and it will be automatically packed and unpacked if needed
- [ ] Create CI/CD autobuild system with releases of library to all popular systems

### Deliverables

GitHub with python binding library and examples

### Definition of Done

PyPI library for working with TON 

### Reward

- 12,000 USD in TON equivalent
- Standard TON Footstep NFT

### Oriental Release Date

1 month",2023-05-09T16:10:44Z,2023-06-03T09:51:23Z
